Time,Force,Jaw,Strain,Stress,TC1
(sec),(kN),(mm),,(MPa),(C)
6.6284999999999998,7.9825562999999997,2.1092784,0.19301826999999999,83.807167000000007,849.67816000000005
6.6289999999999996,7.9631185999999996,2.1032844000000002,0.19270523000000001,83.649383999999998,849.64824999999996
6.6295000000000002,7.9676885999999998,2.1060743,0.19323800999999999,83.653648000000004,849.61841000000004
6.63,8.4158354000000006,2.1078834999999998,0.19279716999999999,86.330192999999994,849.58849999999995
6.6304999999999996,8.4439487,2.1114335,0.19369086999999999,88.664597000000001,849.55864999999994
6.6310000000000002,8.0471249,2.1142496999999998,0.19393270000000001,84.883965000000003,849.52874999999995
6.6315,7.8267999000000001,2.1051660000000001,0.19277101999999999,82.354491999999993,849.49890000000005
6.6319999999999997,7.7866526,2.1008656000000001,0.19279581000000001,81.741652999999999,849.46898999999996
6.6325000000000003,7.7363252999999998,2.1082472999999999,0.19303650999999999,81.223274000000004,849.43915000000004
6.633,7.7557149000000001,2.1059513000000001,0.19288827,81.157348999999996,849.40923999999995
6.6334999999999997,7.8983211999999998,2.1074891,0.19346010999999999,82.785865999999999,849.37938999999994
6.6340000000000003,7.9759115999999999,2.1098973999999999,0.19311819999999999,83.639099000000002,849.34948999999995
6.6345000000000001,7.9833850999999996,2.1031822999999998,0.19278629,83.852783000000002,849.31964000000005
6.6349999999999998,7.9669784999999997,2.1062846,0.19327156000000001,83.673812999999996,849.28972999999996
6.6355000000000004,7.9812665000000003,2.1078382000000002,0.19293861000000001,83.782043000000002,849.25989000000004
6.6360000000000001,7.9922551999999998,2.1035848000000001,0.19289102,83.975655000000003,849.25139999999999
6.6364999999999998,7.9916061999999997,2.1073710999999999,0.19314212,83.903969000000004,849.24823000000004
6.6369999999999996,7.9778871999999996,2.1054609000000002,0.19274546000000001,83.750099000000006,849.24512000000004
6.6375000000000002,7.9807663,2.1045805999999998,0.19316615000000001,83.748688000000001,849.24194
6.6379999999999999,7.9904894999999998,2.1103580000000002,0.19323336999999999,83.875113999999996,849.23883000000001
6.6384999999999996,7.9939403999999996,2.1046705000000001,0.19280037,83.965614000000002,849.23566000000005
6.6390000000000002,7.9885941000000003,2.1048898999999999,0.19319606,83.882698000000005,849.23253999999997
6.6395,7.9806023000000001,2.1087041000000002,0.19295187,83.850600999999997,849.22937000000002
6.64,7.5501041000000004,2.1104105,0.19347023999999999,81.273132000000004,849.22626000000002
6.6405000000000003,7.5544205,2.1156385000000002,0.19414819999999999,79.163559000000006,849.22307999999998
6.641,7.9333549000000003,2.1131017000000001,0.19349231,82.832367000000005,849.21996999999999
6.6414999999999997,8.1737766000000001,2.1031954000000002,0.19291275999999999,85.633713,849.21680000000003
6.6420000000000003,8.2625159999999997,2.1067442999999999,0.19302830000000001,86.706795,849.21367999999995
6.6425000000000001,8.2964257999999997,2.1061703999999999,0.19286666999999999,87.100632000000004,849.21051
6.6429999999999998,8.2362576000000001,2.1072752000000001,0.19335142999999999,86.663475000000005,849.20740000000001
6.6435000000000004,8.0766211000000006,2.1111152,0.19331246999999999,84.912734999999998,849.20421999999996
6.6440000000000001,8.0271071999999997,2.1047482,0.19281856999999999,84.290786999999995,849.20110999999997
6.6444999999999999,8.0118369999999999,2.1051719000000002,0.19332732,84.123703000000006,849.19794000000002
6.6449999999999996,7.9962435000000003,2.1086228,0.19293516999999999,83.883705000000006,849.19482000000005
6.6455000000000002,7.9776138999999997,2.1031089000000001,0.19270781000000001,83.758560000000003,849.19164999999998
6.6459999999999999,7.9865412999999998,2.1070464000000002,0.19317617000000001,83.809517,849.22125000000005
6.6464999999999996,7.9959692999999996,2.1072864999999998,0.19285166000000001,83.965530000000001,849.25896999999998
6.6470000000000002,7.9789390999999998,2.1032256999999999,0.19284886000000001,83.785599000000005,849.29674999999997
6.6475,7.9731225999999999,2.1081506999999999,0.19318004999999999,83.666472999999996,849.33447000000001
6.6479999999999997,7.9802793999999997,2.1059587,0.19281377999999999,83.825149999999994,849.37219000000005
6.6485000000000003,7.9936094000000004,2.1047359000000001,0.19315136999999999,83.941588999999993,849.40990999999997
6.649,7.9724339999999998,2.1086833,0.19299345000000001,83.721237000000002,849.44768999999997
6.6494999999999997,7.9591383999999996,2.1035851999999999,0.19269634999999999,83.598831000000004,849.48541
6.65,8.6606970000000008,2.1055481,0.19305801,89.042473000000001,849.52313000000004
6.6505000000000001,8.4740725000000001,2.1167614000000001,0.19367382,88.925590999999997,849.56084999999996
6.6509999999999998,8.0308256,2.1100081999999998,0.19346358,84.681549000000004,849.59862999999996
